qubit;depth;reads;cov
9.5;429.8756;32540;96.395
43.6;444.2073;34078;98.706
33.4;426.4203;32414;93.114
44.0;964.0888;74500;98.01
48.6;267.5011;21135;98.706
40.6;45.5457312;22441;89.533
45.6;582.6927;45525;96.726
13.2;653.6999;50699;93.322
94.0;1793.43;142662;99.595
72.2;588.1098;46063;96.994
75.0;812.4758;63165;97.769
47.6;40.69029863;18759;92.643
32.6;426.0;33543;91.54
118.0;84.96993613;42547;92.86
31.2;161.7555429;15544;86.523
9.1;154.2377;11833;89.412
9.89;195.0;15956;94.308
16.9;964.5267;75559;99.579
12.1;463.2555;37088;98.696
11.8;208.0;50783;100.0
12.7;72.9441;7200;80.768
60.2;407.0;31571;98.68
44.4;173.05;13862;94.098
2.52;1134.31;88488;99.595
36.4;0.26258235;310;2.398
21.8;84.9511;6629;85.577
87.6;50.01688794;20953;89.616
41.0;173.7756;14474;99.579
19.6;195.7086;15068;88.74
29.9;915.0;92585;96.004
9.46;50.1618;4607;66.351
46.0;281.0;21886;96.957
46.6;574.8277;44376;96.994
58.6;89.08343644;37719;94.877
26.0;470.3481;36718;99.579
5.61;16.7;1298;19.386
16.2;457.9204;35125;93.305
21.2;200.3314;16069;97.037
65.8;65.90298632;29876;91.402
10.5;99.5;9039;90.121
59.0;37.2468983;17136;89.322
38.0;163.937732;14819;93.512
32.2;383.2145;29954;96.873
16.3;1917.7674;146296;99.579
21.8;735.0;60456;98.679
78.4;467.0;36214;98.68
50.6;569.6647;44084;96.994
19.5;464.5872;36100;96.081
58.0;281.0;21761;97.95
49.6;235.0261;17911;99.579
25.0;1354.0;104277;98.866
14.2;208.51;16593;87.67
36.2;566.1794;44039;97.646
15.0;87.8;9334;84.694
45.2;888.91;71405;96.104
19.2;665.6522;51682;94.198
10.3;286.75;22810;85.249
2.38;1124.92;87744;98.679
28.6;2993.3114;223467;99.579
16.3;8.4932;846;0.0
86.0;89.94739658;42009;93.088
33.0;275.2399;20944;91.553
58.4;553.017122;45573;97.82
21.6;325.2823;24951;94.114
45.6;690.9177;53896;98.679
14.4;78.0;6414;75.374
19.6;574.3;44342;99.595
10.0;482.6322;38166;91.613
24.0;1385.2869;107542;97.773
61.6;471.1816;35868;95.027
19.2;82.02;7502;86.523
14.7;738.5859;55643;99.579
74.2;745.0;57322;98.68
26.0;642.0635;50496;99.579
33.6;254.7039;20753;98.733
38.0;139.92576;11464;92.512
98.2;100.2412801;45072;95.171
12.4;150.0;12098;93.34
2.46;1192.24;92514;99.595
8.3;192.8674;14709;93.114
13.2;48.79453567;5754;71.732
42.2;934.3439;72175;99.595
20.8;496.7;39257;97.686
1.79;443.61;34646;95.974
25.8;472.0;46348;97.81
15.8;0.1127;9;0.0
20.0;130.029;11784;86.239
14.3;384.7;29773;77.337
23.8;633.5;48869;99.595
42.4;892.1534;67974;96.994
120.0;154.6834431;70919;96.994
14.8;227.5;18235;97.82
21.8;56.7945;5434;64.081
51.6;489.83;37443;99.579
17.0;424.0;32655;98.866
22.8;276.5117;21158;92.128
20.7;946.8;73015;99.595
40.2;131.2944855;10790;90.827
44.6;21.39688326;11541;76.989
23.4;0.402802394;451;5.856
17.0;228.2522;19613;96.255
15.8;449.6;34750;97.873
41.6;771.5766;59737;96.994
22.2;808.4;62054;99.595
41.2;565.0775;43735;96.994
33.6;1875.2235;140275;97.967
8.5;69.6276;6264;80.443
92.4;63.72420827;30104;91.262
11.4;45.4451;4691;56.252
20.2;421.0;32889;100.0
57.4;1779.1395;139503;97.866
39.0;796.4109;61254;99.579
4.52;519.15;41300;97.241
41.0;123.1493496;11421;89.79
17.1;141.2167;12532;94.743
42.8;31.8035983;17981;80.353
26.6;8.177039093;8727;63.171
54.2;369.8541283;29625;97.686
15.0;386.6259;30045;90.429
18.6;1190.0432;89313;99.579
48.8;726.6643;56171;96.994
30.6;154.9467;12410;96.234
16.4;127.4521;11855;93.034
24.6;718.0061;54735;95.763
71.6;450.6568;35492;95.281
24.1;1103.368;85612;95.87
10.7;436.1763;34582;90.369
5.86;227.1486;17703;88.924
5.08;1.0;93;0.0
66.6;802.19;63944;97.82
27.4;310.1709;23628;95.027
19.8;296.0;24993;96.826
23.6;612.0;47736;96.793
15.5;291.2;22585;97.873
11.1;540.0;42946;98.743
8.38;554.8749;43407;93.382
12.6;77.6533;7337;80.557
9.4;183.9;14230;93.971
25.6;658.0;50862;97.83
81.0;779.3379;60888;98.01
69.0;95.93719694;39151;93.947
39.0;256.0;27915;93.302
7.62;995.24;77772;97.793
13.7;210.0;25076;98.679
9.67;330.2;25803;98.743
37.0;303.5681035;25477;96.097
12.0;487.0571;38369;92.232
50.2;616.1653;47964;96.994
11.4;211.2;16489;96.228
40.5;188.4055;14692;83.336
17.8;179.2182;13760;91.014
26.6;1070.87;83630;96.977
31.4;574.0373;44649;96.02
21.4;780.0878;60518;97.866
59.0;60.8242;4908;69.832
28.0;114.0;10623;93.372
11.4;313.0461;23827;96.261
17.1;56.6701;5193;59.86
3.24;34.5;2841;73.705
10.3;143.2382;11091;91.178
25.0;186.4724;14305;84.985
18.3;200.5087;15364;86.115
37.8;172.5096;13378;86.831
19.0;261.1524;21532;95.495
54.8;431.555;33644;96.994
27.2;371.7476;28602;98.007
35.4;447.9016;34963;96.134
28.2;355.0;28126;96.1
38.4;147.4604;11314;77.246
15.5;549.0;42796;99.595
120.0;1344.2046;104185;98.896
16.0;263.0;22861;97.82
12.9;1082.471;81573;99.579
14.1;614.7251;48710;95.031
7.11;149.4;11573;93.476
7.44;79.5;20746;98.679
16.5;1278.33;99622;98.679
43.4;1014.3292;79173;97.866
43.8;636.8993;49174;96.994
30.4;423.0;33277;97.69
30.8;872.5513;67711;97.866
75.8;68.40587901;30422;92.262
16.3;663.1;51220;99.595
21.4;208.8734;16143;91.375
43.0;439.1184;34079;99.579
42.2;565.7891;43000;93.114
26.6;835.19;65502;98.679
8.32;626.88;49560;99.595
26.0;931.8;71377;98.679
58.8;625.04;49632;98.679
39.4;947.894;73270;96.994
24.2;996.9;77046;99.595
33.0;419.5216;32676;95.281
82.0;106.2739859;49704;94.017
14.6;418.2935;32047;92.128
8.72;149.0673;11684;78.046
28.6;161.0;12945;90.7
32.6;391.6248;30063;92.308
39.6;514.2185;39868;99.579
10.3;96.667;8267;91.108
45.4;212.0713;17046;99.579
26.2;260.0;20690;93.954
56.2;311.5648263;25884;96.034
33.0;174.1732;13527;89.466
41.2;47.78898438;22433;91.516
15.6;264.2531;20922;90.63
35.2;72.16085343;8819;66.569
15.7;319.0;24818;97.669
23.2;3179.0808;237154;99.579
22.0;723.4;55617;99.595
26.8;269.0;21322;96.83
41.4;443.1594;34241;99.579
58.2;295.7064;22593;90.666
18.1;442.1265;34304;91.292
34.2;1443.5489;113400;97.866
25.3;1817.0;139215;99.595
23.6;490.0;65312;100.0
25.8;923.0;70743;98.679
24.0;1248.2418;97343;97.014
29.6;371.0;29092;95.99
19.7;158.73;13214;96.154
11.2;748.0;60312;97.02
7.64;106.9175;8467;78.337
26.2;93.6798;8183;93.68
9.98;38.6259;3772;48.624
9.82;370.0;33444;97.82
44.2;685.823;53071;96.994
100.0;2753.7859;214227;97.927
28.8;747.3708;57750;96.994
25.6;892.8328;67941;98.706
20.4;1887.4068;141107;99.579
9.27;51.5;4223;61.027
13.5;768.0397;57601;93.924
39.8;207.0;20014;100.0
18.2;172.0;13652;93.49
21.3;977.8;77167;99.595
20.3;879.3;67691;98.679
21.2;490.5349;38000;96.158
47.0;509.6717;39899;96.134
34.8;274.023;21498;94.158
14.4;966.535;74932;98.706
71.2;94.5484734;42045;95.141
58.4;618.0;47510;97.84
33.4;1010.0;112368;96.121
22.8;591.6;45449;99.595
11.0;380.1532;28649;86.169
18.0;124.2666622;12296;87.694
50.4;542.0;41564;98.679
20.4;506.0;54792;94.378
22.6;145.383;11207;91.205
53.8;172.7818279;13547;93.338
17.7;548.4;42500;99.595
58.0;70.1;5910;76.751
19.7;587.9653;45749;96.141
38.4;324.0;25467;97.02
28.0;601.8984;46118;95.251
18.1;73.4513;5999;70.662
29.2;224.6071;18020;98.696
24.4;470.0;50106;93.302
40.4;403.6;32200;98.866
36.5;1056.6;82310;98.679
16.5;748.0;42609;98.679
17.6;626.2994;49268;98.706
52.0;546.6269;42583;96.994
14.4;191.0;18359;100.0
15.0;398.9;30842;98.602
39.0;49.59034211;7471;62.432
26.8;189.7177;14517;89.78
28.8;145.7564;12113;97.134
34.2;357.6158;27174;93.114
12.2;291.0002;22290;96.395
14.1;1124.0;87994;97.91
9.6;149.021;11737;74.193
33.8;477.5;36731;96.114
16.7;47.1753;4477;52.215
50.4;178.3108;14095;97.027
21.7;474.5;37703;98.679
39.6;195.7968097;19427;92.208
11.7;303.2301;23194;96.395
28.8;598.6593;46651;96.873
21.8;452.6802;36263;98.706
60.0;50.45868308;22164;92.094
32.8;591.5978;45001;99.579
69.0;68.11065779;29687;94.97
30.2;418.7209;32104;99.579
72.0;73.32006822;31149;93.325
8.38;99.7503;7751;70.548
37.2;1528.5244;118513;93.957
60.2;1336.22;105688;98.679
15.2;105.0615;9585;88.292
30.0;90.0749;7035;77.952
36.2;130.0;13091;92.044
3.18;5.8076;479;0.0
16.3;912.5582;71811;98.763
112.0;122.401866;55127;95.171
14.2;0.6042;48;0.0
22.8;592.32;47574;96.964
14.2;1026.1745;77026;99.579
76.7;1713.6603;133349;96.803
17.5;663.0;51594;99.595
30.8;831.9;65233;98.679
40.2;711.6616;55132;96.994
25.8;431.2918;33076;93.181
1.0;3.2119;251;0.0
22.2;412.0398;33846;97.064
11.2;719.4883;55812;93.389
13.7;444.0;37715;98.679
12.2;81.9;6842;83.18
23.4;512.5049;39774;96.994
8.28;148.8844;11830;75.27
47.2;546.9514;42102;96.893
50.2;643.4925;50060;96.994
28.0;330.0;34006;96.95
63.0;2494.5836;193270;97.913
15.8;835.1512;65748;97.382
10.4;1159.6106;90974;93.292
29.2;214.0;23596;93.954
9.14;9.9364;774;10.103
19.4;1400.541;104850;99.579
6.96;137.0;11737;90.259
1.46;694.34;54972;98.679
8.8;268.0;24996;96.104
6.9;7.7116;621;0.0
12.8;28.2798;2558;41.728
3.52;8.7019;727;2.271
16.6;926.862;69453;99.579
9.24;394.1;31170;97.686
26.0;1366.3199;106945;97.866
24.4;466.1;36946;99.595
44.6;719.034;54831;96.994
110.0;2998.2027;233031;98.943
29.4;218.9656;17334;97.937
36.0;391.0;36486;98.679
7.58;124.5704;9955;82.467
3.84;692.26;54468;98.662
20.3;689.0;53455;98.799
42.2;869.0;66713;97.69
69.2;551.5496;42078;95.994
14.0;418.0;34305;90.626
13.6;776.0;59642;56.456
13.0;18.0094;1873;10.079
35.8;202.7202;15505;93.094
41.0;656.395;50961;96.994
19.7;423.5801;32938;96.02
25.0;1927.7908;144138;99.579
18.7;1046.5146;81794;98.763
7.98;75.3415;6382;78.721
67.2;285.52;22967;93.516
45.8;58.23335451;23112;92.262
9.54;68.9509;5516;66.689
4.54;10.2902;814;5.635
30.4;690.9;52650;98.602
33.8;152.7628;11877;83.015
16.9;904.8084;67942;99.579
15.2;397.2439;31518;96.255
74.8;1600.2898;125317;97.866
11.2;682.6542;53837;93.071
95.2;97.00785874;40050;95.141
10.5;281.6426;22265;91.787
72.2;366.65;29651;98.679
46.0;231.0;18142;95.07
16.3;563.5;45316;98.679
5.45;39.9;3172;40.822
5.06;938.68;73872;97.82
37.2;330.0;32355;98.662
25.8;1083.353;81262;99.579
56.6;220.010835;18407;94.716
12.7;28.4394;3102;25.793
39.6;428.7427;33431;99.579
41.8;1297.0494;100746;93.904
24.2;480.8189;39214;99.579
37.4;194.802;15918;98.696
16.6;106.1497;8199;73.561
35.8;288.83;23276;98.662
45.2;83.5752;7180;92.335
25.6;345.9405;26416;92.262
8.97;250.6;19406;97.02
41.2;245.4328;19539;99.579
67.8;1138.6654;89350;97.866
18.2;321.9641;24609;91.519
1.83;868.43;68224;98.679
35.6;168.97;13328;62.847
31.4;471.8646;36604;96.014
18.3;177.3478;13955;71.598
8.46;508.63;40044;96.833
10.1;76.0;6678;81.918
42.4;593.1696;45852;96.994
23.8;391.648;30836;99.579
20.6;1083.2944;81077;99.579
23.6;630.4751;49019;96.873
34.6;1517.0;169821;98.743
42.0;461.3889;35831;96.994
60.4;202.3864161;15722;95.893
18.7;208.3537;17927;96.298
12.0;1158.0;90187;99.595
23.8;131.3897;10144;89.242
24.0;213.3768;16337;87.874
20.4;22.37156807;13997;79.885
3.54;1358.85;105910;98.679
73.8;637.6265;49635;94.79
40.2;12.47510283;15210;59.696
5.26;13.9186;1161;18.476
49.8;700.9408;53705;94.318
67.0;2351.95;186672;98.679
41.4;1422.7071;111756;97.014
4.24;5.0;402;0.0
4.52;40.0;3406;72.561
19.4;1249.8136;95731;95.903
33.4;450.1482;34708;99.579
15.2;244.8;18768;54.272
68.2;61.78701134;28655;92.115
55.0;318.0704;24196;93.114
29.8;256.6462;20571;99.579
15.9;174.7028;13306;85.276
35.4;364.9932;28751;96.84
20.0;478.0;37647;98.743
21.4;314.0;33588;95.281
102.0;143.8993078;57748;96.994
26.6;428.2236;33427;96.873
23.0;511.6139;39897;96.974
6.92;58.8629;4624;52.968
17.6;290.3592;22172;93.114
8.92;258.5;20058;97.02
13.2;59.3363;5780;77.919
24.0;538.7;42230;98.679
21.6;1046.7;80631;98.679
30.8;2472.1503;184597;99.579
37.2;516.6805;39852;95.87
18.1;218.4741;18379;96.395
21.4;0.124536;227;2.378
37.4;278.3703;21269;88.851
10.3;157.0;13836;94.121
57.8;378.092;28815;93.114
20.6;555.669;42740;93.195
15.3;911.0099;70120;94.97
71.4;79.54703541;35865;94.318
27.6;629.0;49201;94.97
20.0;338.8366;25830;92.262
7.68;2.0615;175;0.0
50.2;502.7471491;41833;97.82
36.6;204.0;19588;100.0
24.2;137.1578;11546;96.234
9.16;201.5688;15967;89.476
19.5;296.0;23871;96.097
86.9;626.4449;48897;93.265
32.8;258.7771;19713;94.174
20.8;667.5896;52146;99.579
8.3;326.58;25958;98.679
28.8;67.0;7175;100.0
84.6;851.9571;64831;96.994
17.2;67.79777949;6881;81.139
27.7;1228.2;94263;99.595
29.2;353.0;27210;96.004
16.7;13.9;1156;14.029
14.7;978.0;78877;99.595
8.39;176.6;13909;96.245
19.6;669.0272;51519;92.225
55.0;724.0;55994;98.68
36.2;291.688;22825;95.512
25.8;216.0;21830;89.663
52.4;455.8793;35202;93.947
23.8;1852.1939;138573;99.579
22.5;609.9;47955;98.679
89.0;83.03845768;34614;96.0
13.7;30.41189847;3131;62.261
2.02;1860.62;144434;98.679
27.8;725.0;78736;95.903
46.4;1252.3694;94912;98.706
64.4;423.0;32915;99.6
34.0;682.7;53404;98.679
13.2;83.0;6821;77.25
17.9;725.0;56183;98.743
35.4;514.0;59334;100.0
27.2;417.0;32847;95.987
12.7;359.6;28197;96.88
50.6;249.6626425;20661;94.338
15.6;514.3;39443;72.565
13.7;405.0;34210;99.595
15.5;84.2385;6539;71.789
18.3;72.4964;5775;74.598
5.6;1346.31;105100;98.679
52.2;267.4382838;23630;95.305
47.6;426.6478;33120;96.873
46.0;365.3437;28427;96.994
15.9;277.1592;22216;88.436
30.8;279.024;21794;94.158
98.4;10.62632512;5943;69.11
23.6;716.8;55162;98.679
45.6;288.3672;22063;93.114
40.6;389.4245059;32900;95.82
60.0;745.7099288;57774;98.679
30.3;1121.3;86187;99.595
13.8;428.0;33299;96.833
48.0;292.9122;22363;89.78
27.4;1360.151;101803;99.579
14.5;341.6071;27575;97.937
56.0;185.865766;15789;92.235
35.8;417.8013;32023;93.325
44.0;606.3464;46709;99.579
3.1;115.0;2761;97.82
34.2;933.0;105560;97.726
18.5;609.3539;47241;96.873
41.4;708.327;54837;96.987
47.8;575.3905;44721;98.662
8.19;360.2;28403;86.152
68.6;841.1643;63710;96.0
13.3;31.59967227;3481;62.99
10.2;59.31919874;6499;75.822
28.4;197.0582;15932;98.696
22.8;132.3899;11811;95.482
21.8;643.3632;50060;96.873
9.24;299.0;17889;97.719
49.6;338.8342;26022;93.114
7.5;62.9488;4935;61.425
20.9;919.0;71025;99.595
118.0;76.5558974;34974;94.873
28.4;183.6102;14613;98.696
34.4;681.7812;52400;94.318
30.6;834.7153;64587;96.994
11.5;197.0;16921;97.826
19.4;444.3358;33758;97.937
22.0;333.4325;26068;96.873
42.2;28.57054476;4543;50.791
52.2;1454.7302;113290;95.87
20.8;1161.3942;89975;95.191
33.4;32.0654115;17457;82.948
30.8;233.7201;17914;91.553
10.4;66.3397;5955;76.354
39.8;248.4003;19045;91.375
35.2;594.0887;46070;95.191
9.9;274.5733;20845;95.495
46.6;82.9408755;8140;86.242
20.2;46.0;5417;100.0
41.4;474.1567;37084;96.786
10.4;282.5227;22353;84.105
28.5;665.6;51019;99.595
9.8;610.4165;46406;66.749
17.9;206.0;16424;94.45
17.8;348.3;27716;95.97
81.0;351.307;26804;90.489
21.6;240.2511;20345;97.535
35.0;718.1806;54754;97.017
25.1;857.3;66070;99.595
14.3;224.0;21402;89.58
2.6;822.65;64532;98.662
33.2;587.6738;45793;91.141
16.5;846.8;65446;98.679
45.4;1004.2688;76813;98.706
33.2;239.9435;18391;86.954
21.4;71.3;5599;79.29
2.96;13.9091;1146;3.495
9.72;1654.08;126676;95.265
88.4;93.14740996;41271;92.262
41.0;860.3;67159;97.686
1.6;615.2;48526;98.679
18.8;386.4;30601;98.679
71.2;407.0913621;30323;96.826
8.76;97.0158;7658;70.98
36.6;372.1143;28972;94.79
12.6;233.0;19233;83.71
54.2;535.0638;41740;96.994
26.6;1227.901;95256;98.799
24.2;248.5788;19042;91.309
49.8;529.2077;40878;96.994
62.6;74.7706919;36980;95.87
16.4;567.8;45689;98.679
14.8;481.5031;37272;90.573
9.92;309.1;23931;98.866
41.8;560.4659;43741;96.994
12.8;340.5326;25868;96.93
51.2;109.4811557;44774;95.011
15.1;100.8126;9512;85.817
43.0;488.7336;38364;99.579
26.4;517.8511;39893;98.706
68.2;1393.8564;108573;95.87
6.6;34.0;2690;58.31
61.2;392.0819;30469;96.134
17.6;155.1798;12921;93.86
6.72;94.3;7425;47.34
15.1;85.97565462;9493;76.588
4.4;243.0;6785;98.679
5.06;7.1132;600;4.484
14.4;73.0326;6851;76.962
16.2;363.725;28257;93.318
32.6;341.4074;26124;89.78
44.4;41.53817343;18282;90.683
23.4;1295.5907;96894;99.579
28.8;179.0;17437;85.797
25.0;358.1696;27712;97.823
18.2;516.0;40262;99.595
37.6;678.7285;52377;99.809
53.0;605.121;46771;96.994
18.2;391.1;31559;97.686
12.0;302.9;24671;97.097
12.6;296.0;24090;96.93
51.0;146.7594221;14092;89.576
49.2;303.48;24670;96.826
40.4;803.898;62505;92.128
6.68;74.0827;5906;59.034
5.32;75.84;5862;44.37
96.6;3224.0988;249990;99.595
16.9;702.4232;52814;99.579
13.3;161.1819;14380;94.683
17.9;847.0;65308;99.595
21.2;359.0042;30473;98.696
14.8;614.0;48400;99.595
51.2;277.287931;20329;96.034
33.0;389.3883;30176;98.706
19.9;556.7396;44708;98.696
38.6;98.9311;7817;79.363
24.2;315.8013;24487;97.893
23.6;283.6442;21955;87.486
32.6;416.0;32651;96.87
40.6;364.1133;28708;99.579
18.4;645.8957;49493;93.238
10.8;111.0;8706;84.26
41.8;525.5079;40958;90.633
76.4;4423.6475;343889;98.799
80.5;1676.6998;130469;97.0
4.74;8.0;663;4.36
41.6;586.1945;45501;96.994
16.5;500.6;40411;98.679
21.4;1107.9716;85963;94.994
19.5;998.0;77228;99.595
27.6;532.8777;41536;94.198
21.2;280.6662;22863;96.234
33.4;1160.1306;90123;0.0
50.6;24.57753403;12770;85.908
21.6;190.4643;16284;96.385
39.4;392.1429;29898;93.83
94.0;80.78995419;37247;91.268
43.4;394.6885;29982;93.114
34.4;810.375;62871;97.01
14.7;331.4511;27849;96.255
31.2;1008.94;79542;99.595
25.6;814.2;62159;99.595
43.4;462.8964;36030;96.994
28.1;97.0;7688;89.76
12.7;90.0;8243;84.617
36.2;4.0;1048;16.072
7.52;258.0;22622;95.97
4.2;80.1;6722;98.679
25.4;300.0;31247;93.011
8.48;217.4663;17366;86.038
36.8;665.0;51573;96.32
36.4;169.9501;13077;85.172
26.1;740.5;57206;99.595
16.8;499.0;38728;80.326
12.3;539.0;44356;97.97
22.2;602.0;46222;98.866
77.2;31.61077484;14797;89.723
55.0;622.0;47961;98.68
33.4;1318.0;100864;98.669
25.2;177.0;14189;100.0
23.8;347.5806;27772;92.038
35.4;827.0;64078;98.662
14.2;211.3958;18594;96.311
21.3;664.9;50994;98.602
21.4;111.0;9171;87.96
94.2;111.0131091;46644;95.141
67.6;35.17687189;17053;89.536
6.84;171.0;15492;98.014
3.54;2.0;151;0.0
26.8;1515.4435;117015;99.595
36.4;904.5168;69858;96.124
4.44;733.19;57842;98.676
55.8;254.0;19900;95.131
16.2;707.0;54605;99.595
28.6;752.0;73082;97.81
35.4;422.982;32589;95.194
11.3;356.9;27798;98.602
2.28;5.0;499;100.0
38.4;1867.11;147256;98.679
58.2;452.0;34949;96.96
12.2;4527.92;355600;98.662
16.8;246.0;19699;93.298
21.5;699.7;53901;98.733
12.5;95.7536;8957;86.74
14.6;490.0;38112;98.679
6.5;121.2;10923;91.302
17.6;299.0;24800;96.897
59.8;41.43373575;19302;91.409
35.6;266.0435;20960;99.579
43.2;566.2481356;43824;98.679
22.2;148.0;14268;100.0
9.22;99.2352;7965;67.572
22.2;518.1;41222;98.679
24.4;362.0;29146;98.68
37.4;315.2629;24713;95.141
7.8;466.7507;36547;87.811
5.52;1143.5;88990;97.82
66.4;47.70280574;20499;91.456
19.0;683.9972;53156;95.987
61.5;745.3678;58238;96.803
106.0;92.47741029;43285;94.482
12.0;96.5979;7823;81.43
27.8;354.0;35639;96.141
28.6;462.4;36384;99.595
44.8;810.0;77781;99.595
24.8;244.7351;18704;89.78
60.2;45.01023309;19793;90.549
2.02;945.06;73956;99.595
22.8;137.0;13479;88.851
6.36;117.0667;9171;80.44
27.0;133.0004347;11524;91.686
31.2;807.3497;62613;96.994
7.22;1397.28;108050;98.679
31.4;232.6642;18348;97.937
81.0;606.1493161;51889;95.833
12.3;212.0092;18217;96.298
19.9;40.1597833;4379;70.786
22.8;30.28033977;4313;59.138
11.8;268.9809;20554;95.495
54.2;193.5000836;16195;92.155
9.1;325.0;27949;92.927
15.3;248.934;21277;96.887
21.6;352.3531;27060;86.824
40.0;349.5495;27116;96.994
29.0;455.678;34892;93.302
64.8;370.2589;28909;96.134
66.4;912.2746;69014;95.141
2.16;1038.53;81456;97.82
6.28;692.88;54612;98.669
42.8;379.4713;29480;96.726
22.2;1845.0;141972;99.595
13.1;26.54335685;2782;59.509
42.2;16.48667358;8612;77.056
7.68;140.0;11771;78.263
90.2;88.47376517;45045;96.134
4.32;5.9504;499;0.0
42.2;515.0;40288;98.68
32.4;831.8753;64798;96.873
